createdAtBlockNumber,createdAtTimestamp,id,reserve0,reserve1,reserveETH,token00.id,token00.name,token00.symbol,token00.totalLiquidity,token00.decimals,token00.txCount,token00_creator_address,token11.decimals,token11.id,token11.name,token11.symbol,token11.totalLiquidity,token11.txCount,initial_Liquidity_Eth,initial_Liquidity_token,last_transaction_timestamp,last_transaction_date,mint_count,swap_count,burn_count,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,active_period,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_hour,is_rugpull,feature_timestamp,mint_ratio,swap_ratio,burn_ratio,swap_rate,LP_Creator_amount,LP_Creator_address,LP_avg,LP_stdev,initial_supply,receiver_list,current_token_total_supply
12788853,2021-07-08,0xbf22f2ebe94ef4919e3c51f744983bb16a6281f8,4.99e-07,2.07e-15,4.15e-15,0x546e0b1aeb0cbebd4f8abb7b689aedde5a8cd95c,Akita SupperMoon,AkitaSMoon,4.99e-07,9,14,0x5bdcdf94f0fe7ed4f87d0b49f08c047d4cc09d53,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,2.0,600000000.0,1625777419,2021-07-08 20:50,1,12,1,0,481,1400,7,5,1400,burn,1625777419,2021-07-08 20:50,2.271501142,2.07e-15,-1.0,0.3888888888888889h,True,1625777419,0.090909091,0.909090909,0.0,1.75,1.095445115,0x5bdcdf94f0fe7ed4f87d0b49f08c047d4cc09d53,100.0,0.0,1000000000.0,0x5bdcdf94f0fe7ed4f87d0b49f08c047d4cc09d53,
12190443,2021-04-07,0x8c779987902435e527de9e0189d14e333d4e2c89,5e-18,2.1e-13,1e-17,0xe8f2d9151ddd655392d0559982d49b2603215eeb,Polkalokr,LKR,2.1e-13,18,21,0x5bd9b4601324ebda203b286d80e1140fd4a25b8f,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,350.0,19342105.0,1617861653,2021-04-08 6:00,2,18,1,1937,8421,93287,18,0,93287,burn,1617861653,2021-04-08 6:00,418.7905826,5e-18,-1.0,25.913055555555555h,True,1617861653,0.1,0.9,0.0,18.0,88080.13135,0x5bd9b4601324ebda203b286d80e1140fd4a25b8f,100.0,0.0,100000000.0,0x5bd9b4601324ebda203b286d80e1140fd4a25b8f,100000000.0
12510526,2021-05-26,0x5861f05190234e1f327fc279a2fbd34eb38be930,1.4e-10,1e-18,2e-18,0x69fefc73a90f191de1c8a52747aa6e69f5bbab1c,HolyShiba,HolyShiba,1.4e-10,18,10,0x5bd56693cb30684ba320f23556fc217b731cfa93,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545613.599,60733891,15.0,300000000000.0,1622042480,2021-05-27 0:21,1,8,1,0,940,2586,5,3,2586,burn,1622042480,2021-05-27 0:21,15.19213154,1e-18,-1.0,0.7183333333333334h,True,1622042480,0.111111111,0.888888889,0.0,1.25,2121320.344,0x5bd56693cb30684ba320f23556fc217b731cfa93,100.0,0.0,1000000000000.0,0x5bd56693cb30684ba320f23556fc217b731cfa93,
11137246,2020-10-27,0x1bcf90e216c8d504d4a1a2a0f2b157c4f5cce147,7.007463237,0.132089277,0.132089277,0x83d0e5773452697ead71a3558e5acfa7ab756e7d,ANTI CORIA,ACORIA,7.007463237,18,48,0xe648ed94d59a83572729a774b8065fe5b2897869,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,20.5,5000.0,1603924063,2020-10-28 22:27,1,46,1,0,4516,4027,32,14,140044,burn,1603788046,2020-10-27 8:40,32.24487321,0.09673462,-0.997,1.118611111111111h,True,1603788046,0.02173913,0.97826087,0.0,2.066666667,320.1562119,0x5bd4e4a943b58673211994599eacece4ce8dc5e0,100.0,0.0,5000.0,0x5bd4e4a943b58673211994599eacece4ce8dc5e0,5000.0
12759394,2021-07-04,0xfef1b48e1d0a8136e770c8f545f8059aadbd6b11,1.39e-08,1e-18,2e-18,0x5986b875ee335943e339a511f6dacbf6ec06dad5,Baby Husky Inu,BabyHusky,1.39e-08,18,22,0x5bd440f1e87de5035e9fd211cf13d252a64008f3,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,5.5,200000000000000.0,1625380886,2021-07-04 6:41,1,20,1,0,725,1489,9,11,1489,burn,1625380886,2021-07-04 6:41,2.394913156,1e-18,-1.0,0.4136111111111111h,True,1625380886,0.05,0.95,0.0,0.818181818,33167065.02,0x5bd440f1e87de5035e9fd211cf13d252a64008f3,100.0,0.0,1000000000000000.0,0x5bd440f1e87de5035e9fd211cf13d252a64008f3,
13294769,2021-09-25,0x9b5c7b27062392a92e2197db2b0801430bbb107b,3.9e-06,2.59e-16,5.18e-16,0x952e9a7814702d7a39d3bac0f3ec6f5ebe92a23e,Itachinu | t.me/Itachinu,Itachinu,3.9e-06,9,25,0x5bd3f05657f43f242834aa2f5d5b63a90894750a,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545598.4642,60733850,3.0,70000000000.0,1632570535,2021-09-25 11:48,1,23,1,0,123,176,15,8,176,burn,1632570535,2021-09-25 11:48,3.751026992,2.59e-16,-1.0,0.04888888888888889h,True,1632570535,0.066666667,0.933333333,0.0,14.0,14.49137675,0x5bd3f05657f43f242834aa2f5d5b63a90894750a,100.0,0.0,100000000000.0,0x5bd3f05657f43f242834aa2f5d5b63a90894750a,
11142293,2020-10-28,0xc4f9287e395eb026ff4df33ca627a19c8667b8a7,1.38e-14,7.3e-17,7.3e-17,0x8ba6262feb8e613718dd23b1904bee2421068b49,MOONICORE,MCORE,1.38e-14,18,8,0x5bd0e0f1d2050b1da494a8a0bf07e396a680115d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545293.6134,60734001,0.35,150.0,1603851630,2020-10-28 11:20,2,5,1,20,249,1009,5,0,1009,burn,1603851630,2020-10-28 11:20,1.050748395,7.3e-17,-1.0,0.2802777777777778h,True,1603851630,0.285714286,0.714285714,0.0,5.0,14.49137675,0x5bd0e0f1d2050b1da494a8a0bf07e396a680115d,100.0,0.0,300.0,0x5bd0e0f1d2050b1da494a8a0bf07e396a680115d,
12882947,2021-07-23,0xd83c1615a33b6848fce9073cd0f673fb69029da4,1e-18,4.11e-10,2e-18,0xcb57cfddcbe47ea16325ba83fce86ba29a2400ca,Lucky Doge,LUCKY,4.11e-10,18,419,0x5bd095f51cdfd2682443e1b1558de377bf2e92a7,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.34,60733867,5.0,1000000000000.0,1629900452,2021-08-25 14:07,1,417,1,0,12349,2852242,179,238,2852242,burn,1629900452,2021-08-25 14:07,5.490270133,1e-18,-1.0,792.2894444444445h,True,1629900452,0.002392344,0.997607656,0.0,0.748953975,2236067.977,0x5bd095f51cdfd2682443e1b1558de377bf2e92a7,100.0,0.0,1000000000000.0,0x5bd095f51cdfd2682443e1b1558de377bf2e92a7,1000000000000.0
12205999,2021-04-09,0x45a0d6193ea622ae9120e431c1b0eb100a82e2b1,7.05e-07,1.42e-15,2.85e-15,0x460f5905e401f733f424368454804c287240d43d,Safe Galaxy,SAXY,7.05e-07,9,12,0x5bce2f72ebcf2f22b8f18d28677821d66f13b66d,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545617.5446,60733927,2.9,5100000000.0,1617976612,2021-04-09 13:56,1,10,1,0,90,193,10,0,193,burn,1617976612,2021-04-09 13:56,5.47,1.42e-15,-1.0,0.05361111111111111h,True,1617976612,0.090909091,0.909090909,0.0,10.0,3.845776905,0x5bce2f72ebcf2f22b8f18d28677821d66f13b66d,100.0,0.0,10000000000.0,0x5bce2f72ebcf2f22b8f18d28677821d66f13b66d,
12622537,2021-06-12,0xf3c28163ec575658277d0994a335062d1531196e,4.08e+16,22.16673122,44.33346245,0x3eddf894dbead8b55c5c5b6eb6301cc033ddecc1,EthereumUltra,EULTRA,4.08e+16,9,2093,0x5bcaac67f0d9ef3d50ecefb09df03278cbcd0322,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Wrapped Ether,WETH,545612.5421,60733885,18.2,4.6e+16,1633210211,2021-10-02 21:30,466,1625,2,215746,131322,759459,706,919,9668785,,0,1970-01-01 0:00,0.0,0.0,,0.0h,False,1633210211,0.222488038,0.776555024,0.000956938,0.769063181,28937.23898,0x5bcaac67f0d9ef3d50ecefb09df03278cbcd0322,33.33333333,46.75515043,1e+17,0x5bcaac67f0d9ef3d50ecefb09df03278cbcd0322,
