Label,txcount,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,LP_avg,LP_stdev,LPCreator_holding_ratio,Lock_ratio,Creator_token_holding_ratio,number_of_token_creation_of_Creator
True,79,1.0,78.0,0.0,0.012658228,0.987341772,0,0.0,0.093925234,0.0,55.0,23.0,2.291666667,100.0,0.0,1,0,1.160000000000000093714563333E+66,1
True,1794,1.0,1792.0,1.0,0.000557414,0.998885173,0.032764542084000002064581025251754908822476863861083984375,0.0,0.00041196,1.0,993.0,799.0,1.24125,100.0,0.0,0.00001571348402557495155912867583,0.9999842865159744250484408714,1.040000000000000017964111054E+56,1
True,5,1.0,4.0,0.0,0.2,0.8,0,0.0,0.304815334,0.0,2.0,2.0,0.666666667,100.0,0.0,1.000000005354795522333070173,-5.354795522333070173005513472E-9,372388059701492514.9536394908,2
True,45,2.0,42.0,1.0,0.044444444,0.933333333,0,0.002574378,0.088653575,0.008822868,33.0,9.0,3.3,100.0,0.0,0.2500000000589255850489464216,0.7499999999410744149510535785,8333333333333.333333333333333,1
True,60,1.0,59.0,0.0,0.016666667,0.983333333,0,0.0,0.091264169,0.0,56.0,3.0,14.0,100.0,0.0,1,0,100000000,1
True,4,2.0,2.0,0.0,0.5,0.5,0,0.5,0.956852342,0.0,1.0,1.0,0.5,100.0,0.0,1.000000000737125013279303083,-7.371250132793030825115971580E-10,46728971.96261682304169826466,3
True,6,2.0,4.0,0.0,0.333333333,0.666666667,0,0.497563306,0.974926847,0.0,1.0,3.0,0.25,100.0,0.0,0.9999999986216096811055396418,1.378390318894460358176119571E-9,9541984.732824427594581006099,3
True,43,1.0,42.0,0.0,0.023255814,0.976744186,1.81800001818000042277405379441850811290522726103302542099982019863091409206390380859375E-15,0.0,0.052364194,0.0,32.0,10.0,2.909090909,100.0,0.0,0E+56,1.000000000000000000000000000,126206.8233303942333039423330,1
True,48,9.0,38.0,1.0,0.1875,0.791666667,0,0.10880165,0.372309804,0.481575561,21.0,17.0,1.166666667,100.0,0.0,1,0,42976.93805898285116628920812,3
True,55,2.0,52.0,1.0,0.036363636,0.945454545,0,0.010865959,0.196499668,0.04114134,42.0,10.0,3.818181818,100.0,0.0,0.5000000001290994005571600925,0.4999999998709005994428399075,6250,1
True,27,1.0,26.0,0.0,0.037037037,0.962962963,0,0.0,0.234893742,0.0,19.0,7.0,2.375,100.0,0.0,0E+40,1.000000000000000000000000000,6250,1
True,170,2.0,167.0,1.0,0.011764706,0.982352941,0,0.026314514,0.425490671,0.900896535,121.0,46.0,2.574468085,100.0,0.0,0E+40,1.000000000000000000000000000,6250,1
True,72,1.0,71.0,0.0,0.013888889,0.986111111,0,0.0,0.083724281,0.0,49.0,22.0,2.130434783,100.0,0.0,0E+40,1.000000000000000000000000000,6250,1
True,97,1.0,96.0,0.0,0.010309278,0.989690722,0,0.0,0.424205423,0.0,63.0,33.0,1.852941176,100.0,0.0,0E+40,1.000000000000000000000000000,6250,1
