Label,txcount,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,LP_avg,LP_stdev,LPCreator_holding_ratio,Lock_ratio,Creator_token_holding_ratio,number_of_token_creation_of_Creator
True,1794,1,1792,1,0.000557414,0.998885173,0.032764542084,0.0,0.00041196,1.0,993,799,1.24125,100.0,0.0,1.571348402557495e-05,0.9999842865159744,1.04e+56,1
True,6,2,4,0,0.333333333,0.666666667,0.0,0.497563306,0.974926847,0.0,1,3,0.25,100.0,0.0,0.9999999986216097,1.3783903188944603e-09,9541984.732824428,1
True,43,1,42,0,0.023255814,0.976744186,1.8180000181800004e-15,0.0,0.052364194,0.0,32,10,2.909090909,100.0,0.0,0.0,1.0,126206.82333039424,1
True,55,2,52,1,0.036363636,0.945454545,0.0,0.010865959,0.196499668,0.04114134,42,10,3.818181818,100.0,0.0,0.5000000001290994,0.4999999998709006,6250.0,1
True,170,2,167,1,0.011764706,0.982352941,0.0,0.026314514,0.425490671,0.900896535,121,46,2.574468085,100.0,0.0,0.0,1.0,6250.0,1
True,97,1,96,0,0.010309278,0.989690722,0.0,0.0,0.424205423,0.0,63,33,1.852941176,100.0,0.0,0.0,1.0,6250.0,1
True,97,1,96,0,0.010309278,0.989690722,0.0,0.0,0.312843549,0.0,72,24,2.88,100.0,0.0,0.0,1.0,6250.0,1
True,19,1,18,0,0.052631579,0.947368421,0.0,0.0,0.091500965,0.0,11,7,1.375,100.0,0.0,0.0,1.0,5000.0,1
True,181,2,176,3,0.011049724,0.972375691,0.0,0.002503419,0.406880508,0.409551341,88,88,0.988764045,100.0,0.0,1.0,0.0,126.66666666666667,1
True,30,1,29,0,0.033333333,0.966666667,0.0,0.0,0.156307711,0.0,23,6,3.285714286,100.0,0.0,1.0,0.0,4.988026228,1
True,11833,10,11814,9,0.000845094,0.998394321,0.0,0.114867845,0.452197723,0.167126106,6334,5480,1.155628535,100.0,0.0,0.0,1.0,1.8351686951627018,1
True,5,1,4,0,0.2,0.8,0.0,0.0,0.664404158,0.0,1,3,0.25,100.0,0.0,1.0,0.0,1.223649652,1
True,4,2,2,0,0.5,0.5,0.0,0.155507559,0.572894168,0.0,2,0,2.0,50.0,49.59128064,1.006711409395973,-0.0100671140939596,1.0175363961008415,1
True,13,1,12,0,0.076923077,0.923076923,0.5,0.0,0.169404762,0.0,5,7,0.625,100.0,0.0,1.0,0.0,1.01,1
True,7,1,6,0,0.142857143,0.857142857,4.3342036553524805e-08,0.0,0.618872549,0.0,5,1,2.5,100.0,0.0,0.0,1.0,1.0,1
True,3,1,2,0,0.333333333,0.666666667,4.9999999999999996e-33,0.0,0.739082969,0.0,2,0,2.0,100.0,0.0,0.0,1.0,1.0,1
True,38,1,36,1,0.026315789,0.947368421,0.0,0.0,0.0847711,0.380620572,33,3,8.25,100.0,0.0,0.0,1.0,1.0,1
True,37,1,36,0,0.027027027,0.972972973,0.0,0.0,0.111184138,0.0,36,0,36.0,100.0,0.0,1.0,0.0,1.0,1
True,35,1,34,0,0.028571429,0.971428571,0.0,0.0,0.413773952,0.0,25,9,2.5,100.0,0.0,0.0,1.0,1.0,1
True,20,1,19,0,0.05,0.95,5.06e-24,0.0,0.33072407,0.0,15,4,3.0,100.0,0.0,0.0,1.0,1.0,1
True,19,1,18,0,0.052631579,0.947368421,4.9999999999e-27,0.0,0.083375657,0.0,15,3,3.75,100.0,0.0,0.0,1.0,1.0,1
True,20,1,19,0,0.05,0.95,5.07e-16,0.0,0.117471136,0.0,18,1,9.0,100.0,0.0,0.0,1.0,1.0,1
True,36,1,35,0,0.027777778,0.972222222,5e-22,0.0,0.336502661,0.0,31,4,6.2,100.0,0.0,0.0,1.0,1.0,1
True,14,1,13,0,0.071428571,0.928571429,5.049999999999999e-16,0.0,0.413445378,0.0,10,3,2.5,100.0,0.0,0.0,1.0,1.0,2
True,19,1,18,0,0.052631579,0.947368421,5.049999999999999e-16,0.0,0.24544201,0.0,17,1,8.5,100.0,0.0,0.0,1.0,1.0,1
True,28,1,27,0,0.035714286,0.964285714,5.07e-16,0.0,0.354417671,0.0,24,3,6.0,100.0,0.0,0.0,1.0,1.0,1
True,114,1,113,0,0.00877193,0.99122807,5.090000000000001e-18,0.0,0.137065132,0.0,85,28,2.931034483,100.0,0.0,0.0,1.0,1.0,1
True,29,1,28,0,0.034482759,0.965517241,3.2472324723247233e-12,0.0,0.0652971,0.0,25,3,6.25,100.0,0.0,0.0,1.0,1.0,1
True,20,1,19,0,0.05,0.95,0.0,0.0,0.131556027,0.0,19,0,19.0,100.0,0.0,1.0,0.0,1.0,1
True,118,1,117,0,0.008474576,0.991525424,0.0,0.0,0.107943748,0.0,97,20,4.619047619,100.0,0.0,0.0,1.0,1.0,1
True,66,1,65,0,0.015151515,0.984848485,5e-10,0.0,0.035741223,0.0,55,10,5.0,100.0,0.0,0.0,1.0,1.0,1
True,36,1,35,0,0.027777778,0.972222222,5e-14,0.0,0.101729052,0.0,31,4,6.2,100.0,0.0,0.0,1.0,1.0,1
True,42,1,41,0,0.023809524,0.976190476,5.089999999999999e-16,0.0,0.242461844,0.0,30,11,2.5,100.0,0.0,0.0,1.0,1.0,1
