,createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.decimals,token00.txCount,token00_creator_address,txCount,initial_Liquidity_Token,current_token,initial_Liquidity_Eth,current_Eth,last_transaction_timestamp,last_transaction_date,rugpull_method,rugpull_timestamp,rugpull_timestamp_date,before_rugpull_Eth,after_rugpull_Eth,rugpull_change,rugpull_proceeding_our,is_rugpull,feature_timestamp,firsttime,initial_supply,receiver_list
0,2021-02-03,0x800bfee914d68e0d643025d3c6ec33979c2e0d9c,KPFinance,KPF,Wrapped Ether,WETH,0x388276d4d136b8bbebeab2f02495cd3c36cd71ad,KPFinance,KPF,18,16,0xdead1241f2ee2a7950ad967993efb72d62bf6822,16,80000.0,45139743129.0,10.0,0.00394,1619882311,2021-05-01 15:18,swap,1612366472,2021-02-03 15:34,22.70490291,0.000159078,-0.999992994,3.901111111,True,1612366472,2021-02-03T11:36:16Z,10000000000000.0,['0xdead27218f7243f71bd4b7bd39c314d5cc66840e']
1,2021-01-31,0x77467a35db88686fb078beda7de293cd1652f364,hashmasks.finance,HMasks,Wrapped Ether,WETH,0x2bd6d9a13b2294dea7198174a592b7c25001c4fc,hashmasks.finance,HMasks,18,104,0xcfd3624a6e0e2f2d39013d0a3f9a83e7a11c9db5,104,300.0,100000000000.0,30.0,9.05e-08,1612368127,2021-02-03 16:02,swap,1612368127,2021-02-03 16:02,77.00558286,9.05e-08,-0.999999999,68.15222222,True,1612368127,2021-01-31T19:17:48Z,300.0,['0xcfd3624a6e0e2f2d39013d0a3f9a83e7a11c9db5']
2,2021-02-02,0xfb2f9b0ff22b6dcd5fd0fbff08ba5a18027da8ab,TopDeFi,TDFI,Wrapped Ether,WETH,0x5f1512f6d3c6b00a4f7dbd932a05b0607f022813,TopDeFi,TDFI,18,12,0xfe60e11d98aa597da4411d47c9ba7e292b14ee81,12,100000.0,4.53e-13,0.1,4e-18,1619454373,2021-04-26 16:26,burn,1612372710,2021-02-03 17:18,0.283941781,3e-18,-1.0,20.03972222,True,1612372710,2021-02-02T18:56:22Z,21000000.0,['0xfe60e11d98aa597da4411d47c9ba7e292b14ee81']
3,2021-01-30,0x41bdd21fa13fdda8d1365406484d74a75d6a7fcb,Famous Coin,FAMOUS,Wrapped Ether,WETH,0x4838903d6319e483ab82ae3f09a1ec36489a4193,Famous Coin,FAMOUS,18,57,0xd820777bbba0c8e432443f099bd7fb1d01a695e1,7,33750.0,1.0,1.0,1e-18,1616029798,2021-03-18 1:09,burn,1612382266,2021-02-03 19:57,1.082,6e-18,-1.0,97.66027778,True,1612382266,2021-01-28T20:53:24Z,1000000.0,['0x0c13a24b69ae3cb05d2c5e43ccfdbc19567e5881']
4,2021-01-04,0x0422edb6e1a5258298cc0366c5f719bbd1bd85be,Wrapped Ether,WETH,Invictus Capital Token,ICAP,0xd83c569268930fadad4cde6d0cb64450fef32b65,Invictus Capital Token,ICAP,18,2383,0xc18bbbcab96ddc62e6712de769e5711ba350f858,1106,0.01,23525.64593,0.1,64.1,1635843817,2021-11-02 9:03,,0,1970-01-01 0:00,0.0,0.0,,0.0,False,1610395918,2020-12-04T09:12:30Z,10000.0,['0x09e64d5c91160bcf1818ff0c8d3b9dd9b631c349']
5,2021-02-03,0x1590ba41baf34b2f2c5750ed15201fda5bd1948c,Qubes.eth.link,QUBES,Wrapped Ether,WETH,0x880ebf71e53d33112adc93cbb2c2dc5a5cecceeb,Qubes.eth.link,QUBES,18,237,0xabb9ecca715ed424c2f2215a9f1ad384bd01a0e5,237,7000000.0,6.24e-14,650.651151,1.7e-17,1612390996,2021-02-03 22:23,burn,1612390996,2021-02-03 22:23,581.9544844,1.7e-17,-1.0,4.805833333,True,1612390996,2021-02-03T15:47:36Z,10000000.0,['0xabb9ecca715ed424c2f2215a9f1ad384bd01a0e5']
6,2021-01-03,0x7f60018a31a93df125dbc3c22b90b9794ad13f00,FireSpinTokenGold,FSTG,Wrapped Ether,WETH,0x298260099e6cad4b49275a97c6743fe7dfc87756,FireSpinTokenGold,FSTG,18,153,0xd6039d6f2f63d295f753ce7e57075ff5a5ca4e94,153,5000.0,97.35402283,9.0,0.047,1612391121,2021-02-03 22:25,burn,1612391121,2021-02-03 22:25,4.696159488,0.046961595,-0.99,746.5941667,True,1612391121,2021-01-03T17:45:40Z,5.0,['0xb7b06d9b04faeb8499046c06bc46ba664fc60e38']
7,2021-02-03,0x3a3ae91c90ab8d202d38a3f563cc2cdc2f93bbf0,Wrapped Ether,WETH,Goldfinch Finance,GFF,0xd8eb25fb9c1e51ee1e52919a29c438608ea30ec4,Goldfinch Finance,GFF,18,269,0xf415bd4922abfe905c2d955d6914e1037b88f07d,269,250000.0,5.57e-15,401.0,1.81e-16,1612407562,2021-02-04 2:59,burn,1612407562,2021-02-04 2:59,1040.342043,1.81e-16,-1.0,4.677777778,True,1612407562,2021-02-03T22:14:39Z,499999.99999999994,"['0xd551234ae421e3bcba99a0da6d736074f22192ff', '0x32be343b94f860124dc4fee278fdcbd38c102d88', '0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2', '0xf415bd4922abfe905c2d955d6914e1037b88f07d', '0xa1d8d972560c2f8144af871db508f0b0b10a3fbf']"
8,2021-02-01,0xcebba119dc7996ca8e4c339dd202081b3c03e492,Wallstreetbets,WSB,Wrapped Ether,WETH,0x6faa5742cf34494841d4129eb0c7885273726a67,Wallstreetbets,WSB,18,53,0x3cb827e46bb426b74d4e54fac661148f7b62651b,53,1000000.0,2.39e-13,20.0,5e-18,1615176874,2021-03-08 4:14,burn,1612411674,2021-02-04 4:07,20.25642179,5e-18,-1.0,58.41833333,True,1612411674,2021-01-28T17:44:33Z,10000000000.0,['0x3cb827e46bb426b74d4e54fac661148f7b62651b']
9,2021-01-05,0x84e99ccc19da8290a754cb015ca188676d695f0a,Cover Protocol Governance Token,COVER,Wrapped Ether,WETH,0x4688a8b1f292fdab17e9a90c8bc379dc1dbd8713,Cover Protocol Governance Token,COVER,18,19101,0xdd79dc5b781b14ff091686961adc5d47e434f4b0,19101,1.0,29.31881893,0.9,0.349,1635366663,2021-10-27 20:31,,0,1970-01-01 0:00,0.0,0.0,,0.0,False,1610425162,2021-01-05T03:44:41Z,1.5023850841102784,['0x2f80e5163a7a774038753593010173322ea6f9fe']
